trial_row,participant_id,question_id,choice,persona,preconclusion_sentences,q_onset,q_endpoint,q_change,q_auc,q_slope,max_abs_delta_q,path_length,orthogonal_path_length,onset_z_maximum_gain,endpoint_z_maximum_gain,change_z_maximum_gain,total_abs_change_z_maximum_gain,onset_z_minimum_gain,endpoint_z_minimum_gain,change_z_minimum_gain,total_abs_change_z_minimum_gain,onset_z_maximum_loss,endpoint_z_maximum_loss,change_z_maximum_loss,total_abs_change_z_maximum_loss,onset_z_minimum_loss,endpoint_z_minimum_loss,change_z_minimum_loss,total_abs_change_z_minimum_loss,onset_z_sum_two_largest_gains,endpoint_z_sum_two_largest_gains,change_z_sum_two_largest_gains,total_abs_change_z_sum_two_largest_gains,onset_z_probability_maximum_gain,endpoint_z_probability_maximum_gain,change_z_probability_maximum_gain,total_abs_change_z_probability_maximum_gain,onset_z_probability_minimum_gain,endpoint_z_probability_minimum_gain,change_z_probability_minimum_gain,total_abs_change_z_probability_minimum_gain,onset_z_probability_maximum_loss,endpoint_z_probability_maximum_loss,change_z_probability_maximum_loss,total_abs_change_z_probability_maximum_loss,onset_z_probability_minimum_loss,endpoint_z_probability_minimum_loss,change_z_probability_minimum_loss,total_abs_change_z_probability_minimum_loss,onset_z_probability_two_largest_gains,endpoint_z_probability_two_largest_gains,change_z_probability_two_largest_gains,total_abs_change_z_probability_two_largest_gains,onset_z_expected_value,endpoint_z_expected_value,change_z_expected_value,total_abs_change_z_expected_value,onset_z_entropy,endpoint_z_entropy,change_z_entropy,total_abs_change_z_entropy
0,69576,Q01,0,Probability-Weighted Decision-Maker,5,-0.8795872926712036,-0.33509957790374756,0.544487714767456,-0.35297825336456307,0.9867689779826567,0.9246841669082642,6.4727678298950195,6.065117835998535,-0.16315363347530365,-0.5052916407585144,-0.34213799238204956,2.424537181854248,-0.7404643297195435,-0.40618884563446045,0.334275484085083,1.7178605794906616,-0.08642211556434631,0.09485843777656555,0.18128055334091187,1.7115141153335571,0.495063841342926,0.031107604503631592,-0.46395623683929443,1.8762502670288086,0.06821133196353912,-0.3335239887237549,-0.4017353057861328,1.6254322528839111,-0.20214061439037323,-0.1420564502477646,0.06008416414260864,1.2606819868087769,-0.16371166706085205,-0.18720829486846924,-0.023496627807617188,1.812678575515747,-0.06919260323047638,0.0574057400226593,0.12659834325313568,1.544372797012329,0.27061253786087036,0.04708811640739441,-0.22352442145347595,1.627292275428772,-0.22414493560791016,-0.1489066481590271,0.07523828744888306,1.4503498077392578,0.05025161802768707,-0.33541756868362427,-0.38566917181015015,1.6421388387680054,0.6329397559165955,0.14222505688667297,-0.4907146990299225,0.909896731376648
1,69576,Q02,0,Probability-Weighted Decision-Maker,7,-1.4559816122055054,-1.3611000776290894,0.09488153457641602,-1.4922372102737427,-0.2659322023391717,0.6347717046737671,6.824904441833496,6.372647285461426,-0.1536928117275238,-0.5011637210845947,-0.3474709093570709,2.2865488529205322,-0.7340286374092102,-0.41247108578681946,0.32155755162239075,1.821565866470337,-0.12651726603507996,0.22610266506671906,0.3526199460029602,1.5156354904174805,0.47785285115242004,0.21166636049747467,-0.2661864757537842,1.7805696725845337,0.07038527727127075,-0.24693942070007324,-0.317324697971344,1.5455818176269531,-0.20616863667964935,-0.2214396446943283,-0.015271008014678955,0.9647738933563232,-0.17195194959640503,-0.25441139936447144,-0.0824594497680664,2.0487899780273438,-0.06323124468326569,-0.05450524389743805,0.008726000785827637,1.6927951574325562,0.27489328384399414,-0.09417311102151871,-0.36906638741493225,1.4910597801208496,-0.22482219338417053,-0.10544398427009583,0.11937820911407471,1.720936894416809,-0.013881564140319824,-0.22849975526332855,-0.21461819112300873,1.6511831283569336,0.607153058052063,0.11021484434604645,-0.49693822860717773,1.0509841442108154
2,69576,Q03,1,Probability-Weighted Decision-Maker,5,1.544967770576477,1.8072946071624756,0.26232683658599854,1.6955687046051025,0.15909990242549354,0.34196197986602783,5.4576215744018555,5.29213285446167,-0.1814635694026947,-0.5826854109764099,-0.4012218415737152,1.6705551147460938,-0.6901554465293884,-0.5046975016593933,0.18545794486999512,1.2422840595245361,-0.06972917914390564,0.146926611661911,0.21665579080581665,1.7388393878936768,0.46828150749206543,0.21177244186401367,-0.25650906562805176,1.6029448509216309,0.052319251000881195,-0.2572762370109558,-0.3095954954624176,1.4839074611663818,-0.17612160742282867,-0.21922285854816437,-0.04310125112533569,1.2750605344772339,-0.16521286964416504,-0.2511047124862671,-0.08589184284210205,0.9259210824966431,-0.09229347854852676,-0.046681880950927734,0.04561159759759903,1.5761098861694336,0.25460898876190186,-0.08505862951278687,-0.3396676182746887,1.4193153381347656,-0.1860680878162384,-0.08787190914154053,0.09819617867469788,0.9554631114006042,0.06628796458244324,-0.3187771439552307,-0.38506510853767395,1.153688669204712,0.6119388341903687,0.6099916100502014,-0.0019472241401672363,1.4043715000152588
3,69576,Q04,1,Probability-Weighted Decision-Maker,5,0.40670889616012573,-0.20913881063461304,-0.6158477067947388,0.25722485184669497,-0.7156968670231953,0.4397431015968323,5.271799564361572,5.111783981323242,-0.15116867423057556,-0.9589504599571228,-0.8077818155288696,1.7746847867965698,-0.7090525031089783,-0.8422436714172363,-0.13319116830825806,0.8550477027893066,-0.11793109774589539,-0.3419385254383087,-0.22400742769241333,1.5894231796264648,0.4555726945400238,-0.28638893365859985,-0.7419615983963013,1.0127615928649902,0.071342833340168,-0.4810263514518738,-0.5523691773414612,1.5542105436325073,-0.2006058245897293,-0.4166463017463684,-0.2160404771566391,0.8549749851226807,-0.1814599633216858,-0.47529804706573486,-0.2938380837440491,1.2954374551773071,-0.08856958150863647,0.32778701186180115,0.4163565933704376,1.6984736919403076,0.26730674505233765,0.26403331756591797,-0.0032734274864196777,1.1765395402908325,-0.21210306882858276,-0.23798659443855286,-0.025883525609970093,1.1467560529708862,0.051875367760658264,-0.8095617294311523,-0.8614370822906494,1.7673320770263672,0.6392317414283752,-0.07027195394039154,-0.709503710269928,1.0109450817108154
4,69576,Q05,1,Probability-Weighted Decision-Maker,7,-0.04982435330748558,0.3676289916038513,0.4174533486366272,0.33466957935265124,0.17928359750658282,0.5854411125183105,8.816898345947266,8.27852725982666,-0.15601478517055511,-0.13340292870998383,0.02261185646057129,1.7788411378860474,-0.7193830609321594,-0.06459279358386993,0.6547902822494507,1.4212371110916138,-0.07537123560905457,0.47342708706855774,0.5487983226776123,2.9511702060699463,0.5104430913925171,0.4236114025115967,-0.08683168888092041,2.5594780445098877,0.05988217145204544,-0.10253339260816574,-0.16241556406021118,2.0372872352600098,-0.20495153963565826,0.18297965824604034,0.3879311978816986,2.0861449241638184,-0.16072773933410645,0.501762330532074,0.6624900698661804,2.834782600402832,-0.06156013906002045,-0.3529626727104187,-0.29140251874923706,2.405365467071533,0.2704870104789734,-0.3037636876106262,-0.5742506980895996,2.754748821258545,-0.22284087538719177,0.2736424505710602,0.49648332595825195,2.0600244998931885,0.004054322838783264,0.19660316407680511,0.19254884123802185,2.262136459350586,0.6163558959960938,-0.11452016234397888,-0.730876088142395,1.3377132415771484
5,69576,Q06,1,Probability-Weighted Decision-Maker,6,1.6343358755111694,1.755741000175476,0.12140512466430664,1.8920683860778809,-0.4100894757679527,0.8080875873565674,6.663592338562012,5.748043060302734,-0.16488629579544067,-0.26030033826828003,-0.09541404247283936,2.0642271041870117,-0.6451253890991211,-0.3342866599559784,0.3108387291431427,1.9611706733703613,-0.04250657558441162,0.32057827711105347,0.3630848526954651,0.904723048210144,0.4638838768005371,0.32773086428642273,-0.13615301251411438,1.1227686405181885,0.05969572812318802,-0.03908839821815491,-0.09878412634134293,1.8572183847427368,-0.1657797247171402,-0.12397836148738861,0.04180136322975159,1.8342292308807373,-0.151281476020813,-0.17577600479125977,-0.024494528770446777,2.063375473022461,-0.09583825618028641,-0.211539164185524,-0.11570090800523758,1.0631861686706543,0.23928897082805634,-0.2232593446969986,-0.46254831552505493,0.6722525358200073,-0.16771116852760315,-0.017929911613464355,0.1497812569141388,1.0314881801605225,0.05944271385669708,-0.18605946004390717,-0.24550217390060425,1.586917519569397,0.5849269032478333,0.26675307750701904,-0.3181738257408142,2.6155519485473633
6,69576,Q07,0,Probability-Weighted Decision-Maker,5,1.4943997859954834,1.4201174974441528,-0.07428228855133057,1.6221590995788575,-0.33038181918007997,0.5838149785995483,4.606881618499756,4.381897449493408,-0.1949044018983841,-0.5130031704902649,-0.318098783493042,1.9638051986694336,-0.6848533153533936,-0.40481847524642944,0.2800348401069641,1.715110182762146,-0.027379989624023438,0.33954286575317383,0.36692285537719727,1.1734416484832764,0.501549482345581,0.2959962785243988,-0.20555320382118225,1.2968538999557495,0.04858670383691788,-0.26496878266334534,-0.3135554790496826,1.5697686672210693,-0.1769455224275589,0.10441678017377853,0.28136229515075684,0.2813623249530792,-0.15216654539108276,-0.007893621921539307,0.14427292346954346,0.5221490263938904,-0.10065940767526627,-0.07691983878612518,0.023739568889141083,0.9834277033805847,0.24251405894756317,-0.10909952968358994,-0.3516135811805725,0.6809145212173462,-0.18305844068527222,0.03897763788700104,0.22203607857227325,0.8083821535110474,0.05353246629238129,-0.12757079303264618,-0.18110325932502747,0.7982751131057739,0.6159963011741638,-0.07062660157680511,-0.6866229176521301,0.893822968006134
7,69576,Q08,0,Probability-Weighted Decision-Maker,8,-0.8810296058654785,-0.4767846167087555,0.404244989156723,-0.34540858305990696,0.4191551804542539,0.9676728844642639,11.84900188446045,10.935325622558594,-0.1451660543680191,-0.4936481714248657,-0.3484821319580078,2.5336833000183105,-0.702141284942627,-0.3784051835536957,0.3237361013889313,2.511624813079834,-0.13461360335350037,-0.02934926748275757,0.1052643358707428,3.9762942790985107,0.46804162859916687,-0.13390880823135376,-0.6019504070281982,3.679750919342041,0.06436340510845184,-0.31016677618026733,-0.37453019618988037,2.276642084121704,-0.2018745094537735,-0.2774139642715454,-0.07553945481777191,2.2977232933044434,-0.16747254133224487,-0.2807757258415222,-0.11330318450927734,4.349878311157227,-0.045185595750808716,0.35533997416496277,0.4005255699157715,3.5856451988220215,0.25725042819976807,0.3242040276527405,0.06695359945297241,3.9876606464385986,-0.21702244877815247,-0.128727525472641,0.08829492330551147,2.29878568649292,-0.0759093314409256,-0.46201252937316895,-0.38610321283340454,3.3236196041107178,0.5996289849281311,-0.09229709208011627,-0.6919260621070862,1.4282200336456299
8,69576,Q09,0,Probability-Weighted Decision-Maker,6,-0.8356497883796692,-0.5531759262084961,0.2824738621711731,-0.45568620413541794,0.4379436799458093,0.4448951184749603,7.90732479095459,7.7571821212768555,-0.14734359085559845,-0.7984668612480164,-0.6511232852935791,2.476349353790283,-0.6467097997665405,-0.7508305907249451,-0.10412079095840454,1.798699140548706,-0.023991286754608154,-0.10969021916389465,-0.0856989324092865,2.6101880073547363,0.4849904477596283,0.2499748170375824,-0.2350156307220459,2.441612720489502,0.0741044282913208,-0.422497034072876,-0.4966014623641968,2.0860650539398193,-0.15887396037578583,-0.4061092734336853,-0.24723531305789948,1.254974126815796,-0.15172165632247925,-0.5579192638397217,-0.40619760751724243,0.9422811269760132,-0.10528461635112762,-0.15261420607566833,-0.04732958972454071,1.7316880226135254,0.22922207415103912,0.12864388525485992,-0.1005781888961792,1.3201841115951538,-0.16669851541519165,-0.2586890161037445,-0.09199050068855286,1.5533474683761597,0.09268732368946075,-0.5268661975860596,-0.6195535063743591,2.285202980041504,0.6128759384155273,-0.006555560976266861,-0.6194314956665039,1.3396127223968506
9,69576,Q10,1,Probability-Weighted Decision-Maker,5,-0.11745471507310867,0.06834827363491058,0.18580299615859985,0.17337889671325685,0.026790809418473876,0.5118623375892639,4.26507568359375,4.085362434387207,-0.15678806602954865,-0.5720109343528748,-0.4152228832244873,1.1477234363555908,-0.7252175807952881,-0.48177117109298706,0.24344640970230103,0.401922345161438,-0.09192773699760437,0.3960185945034027,0.4879463315010071,1.1750409603118896,0.49095529317855835,0.46964794397354126,-0.02130734920501709,1.3225703239440918,0.060062430799007416,-0.3045967221260071,-0.3646591603755951,1.1526079177856445,-0.19960220158100128,-0.2802346348762512,-0.08063243329524994,1.0498261451721191,-0.16586560010910034,-0.2964339256286621,-0.13056832551956177,0.8548510074615479,-0.07631310820579529,-0.22541791200637817,-0.14910480380058289,1.4592490196228027,0.2771996855735779,0.07122404873371124,-0.20597563683986664,0.969576358795166,-0.2175600230693817,-0.1164071261882782,0.10115289688110352,1.237329363822937,0.04238589107990265,-0.11243672668933868,-0.15482261776924133,1.0847511291503906,0.6139453053474426,0.141636461019516,-0.47230884432792664,0.7100870013237
