split,layer,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,log_loss_mean,log_loss_std,brier_mean,brier_std,roc_auc_mean,roc_auc_std
participant,0,0.5870676691729323,0.05632204084858757,0.49856611222911357,0.004647245090321036,0.701048110648724,0.024930410712540173,0.24559947927240203,0.005332682498106128,0.5020739003533355,0.00613254370159035
participant,1,0.7659147869674185,0.019345383955291118,0.7538238906367701,0.028230379195628905,0.5188468256078326,0.028589971321608527,0.1672493612612804,0.007489377645404403,0.8210633087612219,0.017078418944390446
participant,2,0.7911278195488721,0.016941503144739318,0.7845991820495034,0.012464650300178678,0.45156975135536986,0.029482360407208696,0.1428230283930035,0.008594329614049117,0.8680262401178636,0.01577494469754064
participant,3,0.8185463659147869,0.028176824789033012,0.8096205597665593,0.027192745916130582,0.4266486491639375,0.022233998321066477,0.1301474711594926,0.01339281096536353,0.8875273197984717,0.020713159719524542
participant,4,0.8225062656641604,0.018653083202390997,0.8166450281992104,0.017481023855022565,0.41367047009562913,0.005604570552507619,0.12596610457660679,0.008251288700906797,0.8928820620927727,0.012987772030606545
participant,5,0.8264160401002506,0.021366998847986367,0.8204570672310993,0.0223113623968863,0.41308483303499977,0.020796618959279863,0.12745631012641848,0.009821908122603763,0.8913813051258647,0.016281669763032355
participant,6,0.8171929824561402,0.01670346626121476,0.8127484408651101,0.01592177875407988,0.42161490568868587,0.03858190765514209,0.12713908044838185,0.008012213463476432,0.893873244272628,0.011432374538270122
participant,7,0.8741353383458647,0.014136982431627995,0.8684660436842739,0.010534495056419088,0.3149330377014135,0.017858703986509832,0.0936112218541478,0.006562582617192003,0.937939702718204,0.009602456453956175
participant,8,0.8816541353383458,0.006944210459560186,0.8773225815491952,0.007021022981848825,0.2963176174681692,0.017726257032990137,0.08731873602394971,0.004189498897031354,0.9449729282882748,0.008860212078573475
participant,9,0.8925814536340851,0.009738382191771705,0.8892388868155597,0.011983259244086827,0.29241963613807515,0.009095409842896522,0.08417335018183607,0.005634817890901733,0.9448553601024058,0.005559673722197774
participant,10,0.915187969924812,0.011029847110311118,0.9125886264517913,0.013051368054461209,0.2458964278994717,0.020800363343431667,0.06795110597500144,0.006051119206128732,0.9601137064011065,0.007047207409153153
participant,11,0.9259147869674186,0.013476393464934495,0.9233653456850297,0.014591672147948627,0.22294853023066877,0.03317895404625356,0.05946702314395982,0.007513109049276292,0.9676765385728666,0.008613679008276883
participant,12,0.9288220551378445,0.010572461211776662,0.9240399840887076,0.013606977045945419,0.22031606900675435,0.01584614168428807,0.05927489052942987,0.005754424661778797,0.968079406525022,0.008056331429425917
participant,13,0.930125313283208,0.01739951359153192,0.9270751993917401,0.01760631573224335,0.2081879237522853,0.017309007914529724,0.056336931003428424,0.007608202988243812,0.9715842074686467,0.0080235274550904
participant,14,0.9421052631578947,0.005043762355262703,0.9380543516828942,0.008512386675893107,0.1585990853223708,0.020353454104846812,0.04391326624281812,0.005807688663214168,0.9848419692875486,0.0071459527313281245
participant,15,0.9678696741854637,0.005616496059243066,0.9645790196721016,0.005564333158928854,0.10686354884267797,0.010589848172437542,0.027082754656933182,0.0013680703403505562,0.9924769905971969,0.004519595995871509
participant,16,0.9618045112781954,0.008398047105186728,0.9593196317376776,0.00888213070076137,0.12292492304926043,0.01276471610597972,0.0321425485603866,0.0033956302185916033,0.9901093115587137,0.005127923045810791
participant,17,0.9648120300751879,0.004906779181056164,0.9620582739475564,0.005903064216562764,0.1219056501870607,0.01301176569611108,0.031021600467690712,0.003831422430061925,0.9891195737838693,0.005796166077266784
participant,18,0.9656641604010024,0.002574265486738615,0.9648600469228009,0.003681587950015258,0.11996034420308352,0.013307086639208002,0.028629591297116196,0.0024778466178907717,0.9900896082167009,0.005486495673460961
participant,19,0.9620050125313282,0.005892656444986711,0.9610777189388029,0.005548315460032384,0.1217897269587909,0.013044392462815699,0.03071486706257496,0.0038590695033414177,0.990451566176732,0.003725072013927718
participant,20,0.9522305764411028,0.010206072631935889,0.9502564221594128,0.012635405625442492,0.14771065090238816,0.016388917912316694,0.0387626774789661,0.005633043923821329,0.9877700636560174,0.004353110217512924
participant,21,0.9478195488721803,0.009648960061121424,0.9463657883854795,0.011719940779281976,0.1604585047399433,0.034274697985787736,0.040231479868575906,0.00866081342760368,0.9857209774583083,0.007201470714072985
participant,22,0.9454636591478696,0.017465453150604018,0.9442604436942474,0.016364177297298332,0.1717668900156569,0.03793035083832011,0.04304603516398871,0.010164682056526616,0.9838791730899876,0.0058507742499991685
