condition,n,A_targets,B_targets,accuracy,log_loss,brier,mean_p_B,history_A,history_B
zero_shot,40,19,21,0.55,0.6745919825197058,0.2407859916596105,0.4987984889788525,0,0
unbalanced_history,40,19,21,0.65,0.7151297530125638,0.2542061947595568,0.4300544849289977,6,2
balanced_history,40,19,21,0.6,0.6488486415237972,0.22012974925691714,0.570636279710502,4,4
