persona,progress,dimension,mean_centered_delta,sem_centered_delta
Probability-Weighted Decision-Maker,0.25,expected_value,-0.04337098846353887,0.010467114999860085
Probability-Weighted Decision-Maker,0.25,maximum_gain,-0.19261350145164294,0.01369637416531057
Probability-Weighted Decision-Maker,0.25,maximum_loss,-0.003292348725505906,0.009320016148295066
Probability-Weighted Decision-Maker,0.25,minimum_gain,-0.16339269397624756,0.01645438887744093
Probability-Weighted Decision-Maker,0.25,minimum_loss,0.12385780342638891,0.012705193955834165
Probability-Weighted Decision-Maker,0.25,probability_maximum_gain,-0.05167774154081279,0.009105842790144005
Probability-Weighted Decision-Maker,0.25,probability_maximum_loss,0.10964242860341006,0.010238527941557145
Probability-Weighted Decision-Maker,0.25,probability_minimum_gain,-0.09994551620896419,0.0125658120803132
Probability-Weighted Decision-Maker,0.25,probability_minimum_loss,0.12519178828877017,0.00977548196345275
Probability-Weighted Decision-Maker,0.25,probability_two_largest_gains,-0.13092372082838954,0.008726499530441204
Probability-Weighted Decision-Maker,0.25,sum_two_largest_gains,-0.14025546109076056,0.00886198969258682
Probability-Weighted Decision-Maker,0.5,entropy,0.16100094082393962,0.011300299460749393
Probability-Weighted Decision-Maker,0.5,expected_value,-0.006332543981548668,0.01625643062789522
Probability-Weighted Decision-Maker,0.5,maximum_gain,0.05949647658641917,0.017245666411765774
Probability-Weighted Decision-Maker,0.5,maximum_loss,-0.08275687493209483,0.016949235063818572
Probability-Weighted Decision-Maker,0.5,minimum_gain,0.09010883783545426,0.019332755908148185
Probability-Weighted Decision-Maker,0.5,minimum_loss,-0.08679885070275023,0.017972196305250078
Probability-Weighted Decision-Maker,0.5,probability_maximum_gain,0.04126391210443661,0.010787603170744958
Probability-Weighted Decision-Maker,0.5,probability_maximum_loss,0.02588037868643844,0.012928718328980971
Probability-Weighted Decision-Maker,0.5,probability_minimum_gain,-0.010612105511971595,0.013534250744048196
Probability-Weighted Decision-Maker,0.5,probability_minimum_loss,0.03156569267613199,0.011501059288803997
Probability-Weighted Decision-Maker,0.5,probability_two_largest_gains,0.003555128127763421,0.009777833186520769
Probability-Weighted Decision-Maker,0.5,sum_two_largest_gains,0.022788254416823823,0.010950307852887036
Probability-Weighted Decision-Maker,0.75,entropy,0.05284626898106048,0.009695939400201333
Probability-Weighted Decision-Maker,0.75,expected_value,0.09090512673922384,0.015402716346371702
Probability-Weighted Decision-Maker,0.75,maximum_gain,0.024894783968319494,0.014166687096122732
