history_trials,n,accuracy,log_loss,brier,prompt_tokens
0,8,0.875,0.5937947432804709,0.1859920132619905,619
1,8,0.75,0.7719651758004312,0.2693597339189965,1167
2,8,0.625,0.692354390177311,0.24793044342250825,1519
5,8,0.5,1.028892771202297,0.3740215095320404,3139
10,8,0.375,1.6836176409460466,0.5260647101397203,5639
20,8,0.375,1.2807681455362305,0.4384108337107144,10007
