history_trials,draws,accuracy_mean,accuracy_sd,log_loss_mean,log_loss_sd,brier_mean,mean_p_B
0,1,0.5,,0.8783359566736194,,0.32570816745606107,0.7506940132689714
2,3,0.5416666666666666,0.04166666666666673,0.7942297329259661,0.046802996082319505,0.2878420802773645,0.41828806662888113
4,3,0.5833333333333334,0.11023963796102457,0.8156817042009269,0.14457879461805734,0.27865142977806057,0.4060497251468056
6,3,0.5277777777777778,0.08673608331108888,0.8181244899536835,0.13019222838625982,0.2866225283602843,0.4286486713422311
8,3,0.5277777777777778,0.06364688465216448,0.8728489288741428,0.13751322531505883,0.3013006310051738,0.4598024803700498
10,3,0.5972222222222222,0.024056261216234432,0.9438799736239786,0.07615378805723323,0.2993804723861857,0.37983373355750166
12,3,0.5694444444444444,0.08673608331108884,0.9110422063963739,0.1124265872016857,0.3058144314241055,0.3809887081934533
14,3,0.5833333333333334,0.0,0.9586647190962562,0.22279571007917182,0.3002041784903666,0.365106877292797
16,3,0.5416666666666666,0.04166666666666673,0.8614361060094712,0.11917064048132132,0.2949333759134205,0.39508335890355295
18,3,0.6111111111111112,0.024056261216234394,0.9162485007996327,0.03336497284860894,0.29249771211398995,0.3488874340274272
